R,Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1,Manchester City,18.1,7.1,12.4,7.4,7.01
2,Leicester,13.5,5.9,10.8,11.5,6.99
3,Liverpool,14.7,5.6,9.6,6.7,6.97
4,Chelsea,15.0,5.4,13.6,9.5,6.88
5,Wolverhampton Wanderers,12.8,4.5,13.2,9.0,6.81
6,Southampton,13.5,5.3,10.7,9.4,6.75
7,Sheffield United,8.4,2.7,8.9,7.1,6.73
8,Tottenham,10.9,5.0,13.0,12.1,6.7
9,West Ham,8.9,3.5,12.1,8.9,6.67
10,Manchester United,12.9,5.2,11.2,11.9,6.66
11,Crystal Palace,7.7,2.9,11.6,12.5,6.66
12,Brighton,12.6,4.5,9.4,7.9,6.64
13,Arsenal,9.4,3.1,11.3,10.2,6.62
14,Aston Villa,11.0,4.1,9.1,13.0,6.61
15,Bournemouth,10.4,3.1,9.6,8.9,6.61
16,Burnley,8.8,2.7,5.1,10.2,6.61
17,Everton,12.9,4.0,8.5,10.8,6.59
18,Watford,8.6,2.7,8.6,7.1,6.54
19,Norwich,10.9,3.1,12.4,11.9,6.53
20,Newcastle United,8.1,2.6,9.9,10.8,6.52
